収支区分,発生日,勘定科目,金額,税区分,備考,品目,決済状況,決済口座,決済金額,決済日
収入,2025-01-06,売掛金,62501,,Amazonからの入金,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,62501.0,2025-01-06
収入,2025-01-16,売掛金,12952,,Amazonからの入金,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,12952.0,2025-01-16
収入,2025-01-30,売掛金,58351,,Amazonからの入金,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,58351.0,2025-01-30
収入,2025-02-13,売掛金,27568,,Amazonからの入金,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,27568.0,2025-02-13
収入,2025-02-25,売掛金,11480,,セールモンスター売上入金,セールモンスター,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,11480.0,2025-02-25
収入,2025-02-27,売掛金,57232,,Amazonからの入金,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,57232.0,2025-02-27
収入,2025-03-13,売掛金,14311,,Amazonからの入金,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,14311.0,2025-03-13
収入,2025-03-25,売掛金,23100,,セールモンスター売上入金,セールモンスター,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,23100.0,2025-03-25
収入,2025-03-27,売掛金,99645,,Amazonからの入金,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,99645.0,2025-03-27
収入,2025-03-31,雑収入,107,,預金利息,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,107.0,2025-03-31
収入,2025-04-10,売掛金,49066,,Amazonからの入金,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,49066.0,2025-04-10
収入,2025-04-24,売掛金,108253,,Amazonからの入金,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,108253.0,2025-04-24
収入,2025-04-25,売掛金,41850,,セールモンスター売上入金,セールモンスター,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,41850.0,2025-04-25
収入,2025-05-08,売掛金,58392,,Amazonからの入金,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,58392.0,2025-05-08
収入,2025-05-22,売掛金,65105,,Amazonからの入金,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,65105.0,2025-05-22
収入,2025-06-05,売掛金,16740,,Amazonからの入金,Amazon出品者アカウント,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,16740.0,2025-06-05
収入,2025-06-12,雑収入,1,,振込 アマゾンジヤパン(ド（PayPya銀行支払い開始処理）,,完了,PayPay銀行 005 普通 ***6264,1.0,2025-06-12
収入,2025-06-18,雑収入,20,,PAYPALWALLET（PayPya銀行支払い開始処理）,,完了,PayPay銀行 005 普通 ***6264,20.0,2025-06-18
収入,2025-06-18,雑収入,100,,Microsoft*Store（PayPya銀行支払い開始処理）,,完了,PayPay銀行 005 普通 ***6264,100.0,2025-06-18
