id,shipped_qty,shipment_headers_id,bl_awb_no,ship_date,po_details,purchase_item_name,purchase_item_id,po_number,unit_chg_weight_g,total_chg_weight_g,total_shipment_weight_g,total_shipment_cost_jpy,allocated_shipment_cost_jpy,unit_shipment_cost_jpy
47592503-4762-4b7c-b623-98e06b5eb64d,48,a88b04fa-3573-46b7-92ee-cdaea42c05fc,26019113411,2024/6/4,1aa9fa00-ce01-4cf4-baf2-d8564119a95c,商品本体　お食事エプロン　てんとう虫,recRxRdTX0atFG6j1,PO-0011,285.18,13689,67920,22316,4498,94
517be4c4-3788-46d3-9212-8a4e02cc68f0,45,a88b04fa-3573-46b7-92ee-cdaea42c05fc,26019113411,2024/6/4,b59e6059-71dc-4231-8305-9ecd0d6666d3,商品本体　お食事エプロン　お花,recaHGeI79L2o0sck,PO-0011,285.18,12833,67920,22316,4216,94
59e78f1c-6390-47c9-afd9-584ec0353d69,98,a88b04fa-3573-46b7-92ee-cdaea42c05fc,26019113411,2024/6/4,b6feb20c-a5a7-4945-8ac9-3b49160bafab,商品本体　お食事エプロン　はたらくくるま,recd2UG1uBWdKGIb3,PO-0011,285.18,27948,67920,22316,9183,94
732d00b6-dbcf-4554-b87f-99582948aa3e,47,a88b04fa-3573-46b7-92ee-cdaea42c05fc,26019113411,2024/6/4,75fba87c-b69b-41f3-9b05-121cf5115d66,商品本体　お食事エプロン　恐竜,rec8DZQ2DuEkCb6ty,PO-0011,285.18,13403,67920,22316,4404,94
fad86d69-2bc6-48a9-84ff-d3eb93086be9,238,a88b04fa-3573-46b7-92ee-cdaea42c05fc,26019113411,2024/6/4,8c4ea6e7-66b9-43e8-b058-973fa9559f7f,洗濯タグ（お食事エプロンPU袖なし用）,recrHDqWuIUF0PQwr,PO-0007,0.2,48,67920,22316,16,0
6c1c14e7-b96e-4508-829d-d17cdad03939,1,fc879b29-f27d-491a-b937-397079e3ce90,26019114575,2024/8/6,1aa9fa00-ce01-4cf4-baf2-d8564119a95c,商品本体　お食事エプロン　てんとう虫,recRxRdTX0atFG6j1,PO-0011,285.18,285,42236,15689,106,106
6c380152-3151-48da-9ac0-a4ef7c1d46bb,49,fc879b29-f27d-491a-b937-397079e3ce90,26019114575,2024/8/6,6e839e85-5c03-444a-9591-4d76a44b585e,商品本体　お食事エプロン　てんとう虫,recRxRdTX0atFG6j1,PO-0012,285.18,13974,42236,15689,5191,106
25c8ee88-b4c0-46b6-be56-3579334a7a8e,48,fc879b29-f27d-491a-b937-397079e3ce90,26019114575,2024/8/6,ff98165a-e136-4008-99ad-1d36451d9cca,商品本体　お食事エプロン　恐竜,rec8DZQ2DuEkCb6ty,PO-0012,285.18,13689,42236,15689,5085,106
f5a4d0b7-d862-4c41-a21c-da79c96fdba8,45,fc879b29-f27d-491a-b937-397079e3ce90,26019114575,2024/8/6,384cf737-448d-4f3b-a50b-2d267260789d,商品本体　お食事エプロン　お花,recaHGeI79L2o0sck,PO-0012,285.18,12833,42236,15689,4767,106
174fc01b-ddaf-4fa0-afd7-293f1d8a49b0,1,fc879b29-f27d-491a-b937-397079e3ce90,26019114575,2024/8/6,75fba87c-b69b-41f3-9b05-121cf5115d66,商品本体　お食事エプロン　恐竜,rec8DZQ2DuEkCb6ty,PO-0011,285.18,285,42236,15689,106,106
b026d4b9-37b5-4f2a-b5ba-8e2f1150ba6f,4,fc879b29-f27d-491a-b937-397079e3ce90,26019114575,2024/8/6,b59e6059-71dc-4231-8305-9ecd0d6666d3,商品本体　お食事エプロン　お花,recaHGeI79L2o0sck,PO-0011,285.18,1141,42236,15689,424,106
37db941d-f29e-457b-ad0f-ef1a85b4a088,148,fc879b29-f27d-491a-b937-397079e3ce90,26019114575,2024/8/6,8c4ea6e7-66b9-43e8-b058-973fa9559f7f,洗濯タグ（お食事エプロンPU袖なし用）,recrHDqWuIUF0PQwr,PO-0007,0.2,30,42236,15689,11,0
e68b515b-b4eb-4bfb-8d51-70e28279d8ab,4,2942e02b-d3b1-4b98-906e-ce24a97953c7,26019114811,2024/8/27,384cf737-448d-4f3b-a50b-2d267260789d,商品本体　お食事エプロン　お花,recaHGeI79L2o0sck,PO-0012,285.18,1141,78765,23280,337,84
93158e8c-8003-42d2-9601-58eb5becaf9b,1,2942e02b-d3b1-4b98-906e-ce24a97953c7,26019114811,2024/8/27,6e839e85-5c03-444a-9591-4d76a44b585e,商品本体　お食事エプロン　てんとう虫,recRxRdTX0atFG6j1,PO-0012,285.18,285,78765,23280,84,84
f9fe250c-e338-4f00-bad5-74a1d6beb2ae,1,2942e02b-d3b1-4b98-906e-ce24a97953c7,26019114811,2024/8/27,ff98165a-e136-4008-99ad-1d36451d9cca,商品本体　お食事エプロン　恐竜,rec8DZQ2DuEkCb6ty,PO-0012,285.18,285,78765,23280,84,84
b062bd14-2883-4cc9-8cca-af2272f904d6,46,2942e02b-d3b1-4b98-906e-ce24a97953c7,26019114811,2024/8/27,b4de16f5-8f05-4056-bd46-96e85defd2db,商品本体　お食事エプロン　恐竜Ｂ,rec4Tag8KXQM4IyWk,PO-0014,285.18,13118,78765,23280,3877,84
004d7e25-d768-4dd2-aa3f-291f63d6befe,43,2942e02b-d3b1-4b98-906e-ce24a97953c7,26019114811,2024/8/27,699807aa-5d1c-4eec-a4b4-28eea0d0cfa8,商品本体　お食事エプロン　オリーブ,recRJI2sL2nD7DWOg,PO-0014,285.18,12263,78765,23280,3624,84
06b1df6d-5548-4b9d-a15d-2605c5dfe726,40,2942e02b-d3b1-4b98-906e-ce24a97953c7,26019114811,2024/8/27,1b5abf5b-cf7b-4514-8aa8-e5cce9af51e0,商品本体　お食事エプロン　クマ,recl7bY5IwTzVNL0T,PO-0014,285.18,11407,78765,23280,3372,84
851a58a8-3850-4d61-8bc0-1a6bdd2742d1,46,2942e02b-d3b1-4b98-906e-ce24a97953c7,26019114811,2024/8/27,6e369e68-6ab7-4bbe-b091-b6da89e271e1,商品本体　お食事エプロン　無地（赤）,recCiharjtemJ0bgp,PO-0014,285.18,13118,78765,23280,3877,84
6338012d-051e-41d3-bbed-38629115a558,47,2942e02b-d3b1-4b98-906e-ce24a97953c7,26019114811,2024/8/27,9dfdce07-7290-4300-bb93-89bd33f8c971,商品本体　お食事エプロン　トラ,rec7J4fctwb7CReZy,PO-0014,285.18,13403,78765,23280,3962,84
75813bb1-a45e-43b4-a360-10e57856b15e,48,2942e02b-d3b1-4b98-906e-ce24a97953c7,26019114811,2024/8/27,8dafd95c-3d63-4956-b9d3-3d1d814204f1,商品本体　お食事エプロン　海,recuZ1ITBNc9oYzMa,PO-0014,285.18,13689,78765,23280,4046,84
2166d221-a075-4636-a1e5-3b43ba00a9f6,114,2942e02b-d3b1-4b98-906e-ce24a97953c7,26019114811,2024/8/27,8c4ea6e7-66b9-43e8-b058-973fa9559f7f,洗濯タグ（お食事エプロンPU袖なし用）,recrHDqWuIUF0PQwr,PO-0007,0.2,23,78765,23280,7,0
